schema,upstream_repository,pinned_commit,upstream_path,sha256,bytes,binary,detected_notice_tokens,initial_attribution,license_status,current_disposition
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,.gitattributes,d8fb0de4792538f93822b2c0d235604921299d5e54a3d6ec7a6cb34536e8bf1e,68,false,none-detected,BlackReflection aggregate tree at pinned commit,root Apache-2.0 declaration exists; per-file origin not independently verified,reference only
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,.gitignore,f157f9c467802a6964c0c09d0e94eac7826e5a7e5f41fe451129a81ef36971e2,355,false,none-detected,BlackReflection aggregate tree at pinned commit,root Apache-2.0 declaration exists; per-file origin not independently verified,reference only
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,LICENSE,313605fbac6945e9324d4825470796b5b7dbc012f523fdc181f6e6fd234eb88f,11525,false,Apache-text;copyright-text,BlackReflection project declaration,Apache-2.0 text present,retain audit evidence only
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,README.md,19b68ac51174764ed69daffb1944b68354bd292b5e534a51f15d61274d176e15,6045,false,none-detected,BlackReflection aggregate tree at pinned commit,root Apache-2.0 declaration exists; per-file origin not independently verified,reference only
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,README_EN.md,faa09ad2291242604cd6826cba42be0d0224311e40879e9e6b61d6f1dc9b1651,6115,false,none-detected,BlackReflection aggregate tree at pinned commit,root Apache-2.0 declaration exists; per-file origin not independently verified,reference only
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/.gitignore,5c3174b74edc6f2b9e0743594b8bd3c7f31e4f4405758cc9872b3fe1de1d28b4,6,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/build.gradle,ce7fe67a945ca08cb33668e71c632fa4987e09aaa0fd039ebc845e5f2b23cbd9,1480,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/proguard-rules.pro,483b0b72b8745114848d38ea3fc547562e0f73a67bfbdc06066d00abf1334661,1528,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/androidTest/java/top/niunaijun/blackreflection/ExampleInstrumentedTest.java,3a3c73c88fb3a44e384829dd7dca727300523d6ce00f0f4c5c970de625718bab,797,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/AndroidManifest.xml,36584228854523ece93431af48872714ff02efb1ed15e08ae8bf73465033da35,773,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/java/top/niunaijun/app/MainActivity.java,cde2074e63cf0d57c1cf48093a5633c227b3abb902bebe2c74cad64c2a804c0d,4240,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/java/top/niunaijun/app/bean/TestReflection.java,7668758651d8ddf0620632a33f42ba9e9dfcbbde59dbc857cf2ac0aef6f507d7,1088,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/java/top/niunaijun/app/ref/ActivityThread.java,03273882d20e72d8ceb0350d9a12b660edb2bba57ec34bbdb2fd68929e9b703d,425,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/java/top/niunaijun/app/ref/TestReflection.java,120b327227e73a5ede699f1d16e4b11b6f81d679101f84531999e66bc9f79292,1232,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/drawable-v24/ic_launcher_foreground.xml,6e3c1bb64d9bec079cf0030d867c58b064d2fb19ca6c5a691543c43134f64a2a,1731,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/drawable/ic_launcher_background.xml,38381d0d0a64770d992c98e5b5e492555690af40e2fc6ee59e5a1c2a7c0fdcde,5776,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/layout/activity_main.xml,34c2cb8bb96f25ac292e352c7bf66615c15b0d53ab5f174e22c443140eea2d8d,849,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,9f2e5983459ac3824abb0884f3cd1df8b1d576f142f0df5e498cae9ea04d4e18,276,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,9f2e5983459ac3824abb0884f3cd1df8b1d576f142f0df5e498cae9ea04d4e18,276,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-hdpi/ic_launcher.png,5ee6ca2903e3094d64110dee90aea432f9eb9bc747c7e5c134496b8f7feff3b8,3593,true,none-detected,binary/sample asset from pinned tree,per-file origin/license unresolved,exclude unless separately audited
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-hdpi/ic_launcher_round.png,876e35db6919f81d28dbe042d8535414b2b3bb13d1139c16265f652ca5df65ac,5339,true,none-detected,binary/sample asset from pinned tree,per-file origin/license unresolved,exclude unless separately audited
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-mdpi/ic_launcher.png,62c4db47abd938c35f4926ea0b7b31b9d6c41bef1ddacb2c7685b5c6ea0890e5,2636,true,none-detected,binary/sample asset from pinned tree,per-file origin/license unresolved,exclude unless separately audited
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-mdpi/ic_launcher_round.png,b9bc0ce206c8715db22eacfbceddff820f9b8a0ef3a519bbb88f7b6e65806d71,3388,true,none-detected,binary/sample asset from pinned tree,per-file origin/license unresolved,exclude unless separately audited
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-xhdpi/ic_launcher.png,2a5e85ebec8c77c18f5c34d762949674373c7a95de57a8a82ce165c8db8cedbb,4926,true,none-detected,binary/sample asset from pinned tree,per-file origin/license unresolved,exclude unless separately audited
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,81b31d4cabd3e4358db2d99e6c31474b82ae6379dc06ea0c00267f41da1bd599,7472,true,none-detected,binary/sample asset from pinned tree,per-file origin/license unresolved,exclude unless separately audited
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-xxhdpi/ic_launcher.png,01cec2d4d6cc59f250e4bbfa445042c3a3b9ebf9788b9f34796e85c0af874da4,7909,true,none-detected,binary/sample asset from pinned tree,per-file origin/license unresolved,exclude unless separately audited
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png,bf24682fa050affbc3bdaae15cd5532c13758a5a0e6d5305cfad52ddefc4d571,11873,true,none-detected,binary/sample asset from pinned tree,per-file origin/license unresolved,exclude unless separately audited
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,b2f8a8d39587eb912f8d217f2160c4ba4e21a60fd7a6f84849c102bcac725975,10652,true,none-detected,binary/sample asset from pinned tree,per-file origin/license unresolved,exclude unless separately audited
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png,d7ed7010aa67cb843af6df357ff1a74ec1598d2407e4884d12633aa0f11e3a4b,16570,true,none-detected,binary/sample asset from pinned tree,per-file origin/license unresolved,exclude unless separately audited
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/values-night/themes.xml,3742fc03d9407ea3cc425a087e2ffa9fe94849efbc1e2c6bb2d24943f2a0e77f,852,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/values/colors.xml,31e0230ab2d96fa128a11705e85e590f3462745dc3c04bc851bc724a445921c1,387,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/values/strings.xml,c67f91e58ca4ec69a55c77b4e4bb369e87144f608fae5175a4b88049f12be142,79,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/main/res/values/themes.xml,0cd1ff9ba3305b4cb63784484c58df6a7a8cf9e1c72583722e78573f2f8c4abb,852,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,app/src/test/java/top/niunaijun/blackreflection/ExampleUnitTest.java,86a2805315e1dbc505dff7941bdb28c16037674e6d7a74f374facbdfab6e45be,406,false,none-detected,BlackReflection sample application,root Apache-2.0 declaration exists; per-file origin not independently verified,sample only; do not import
1,https://github.com/CodingGay/BlackReflection,5eadef2dd322964b7fa61246ba58e02bbb864c8a,build.gradle,acebb2cfbfea591808e68956f38f71d52646d8341c5fef2a8ce6bba1fa5f6efc,791,false,none-detected,BlackReflection aggregate tree at pinned commit,root Apache-2.0 declaration exists; per-file origin not independently verified,reference only
